LevelId, Filename  , Area_Name        , Pos                            , Rotate                      
 150101, hub_001   , Cinnamon Mountain, "404.53613,396.77765,84.06369" , "0.13052619,0,0,0.99144489" 
 150201, hub_002   , Longzhi Lake     , "474.3399,484.77094,116.0913"  , "0.87881708,0,0,-0.47715881"
 150301, hub_003   , Moonbeam Forest  , "517.36304,391.93173,49.096535", "0.98901588,0,0,-0.14780945"
 150401, hub_004   , Burning Fortress , "550.51465,523.17902,29.696609", "0.13052626,0,0,0.99144489" 
 150501, hub_005   , Sprint Wind Post , "1028.1249,1173.3152,47.247326", "0.52991927,0,0,0.84804809" 
 160101, farm_01   , Farm             , "869.81116,960.40442,17.264408", "0.97629601,0,0,0.21643963" 
 180101, village_01, Milard           , "656.78711,740.2207,143.72086" , "-0.31730461,0,0,0.94832367"
 180201, village_02, Mezeporta        , "1245.8522,1240.337,23.608009" , "0.87035573,0,0,-0.4924235" 
 160201, guild_01  , Guild Camp       , "1017.164,1283.4886,105.23875" , "0.25881904,0,0,0.96592581" 
 100201, level_002 , Hermit Forest    , "1681.2958,346.80392,205.375"  , "0.96126169,0,0,0.27563742" 
 140900, arena_003 , Training Grounds , "45.431847,24.674377,1.1663094", "0,0,0,0.1" 
